facekit_cohort,syndrome_name,syndrome_id,internal_syndrome_name,internal_syndrome_id
"NABAIS SA-DE VRIES SYNDROME, TYPE 2; NSDVS2__a61c568e","NABAIS SA-DE VRIES SYNDROME, TYPE 2; NSDVS2",374,"NABAIS SA-DE VRIES SYNDROME, TYPE 2; NSDVS2",374
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN__d5e92d52","DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",183,"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",183
Pontocerebellar hypoplasia__3965ecc3,Pontocerebellar hypoplasia,162,Pontocerebellar hypoplasia,162
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH__54824d45","DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH",551,"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH",551
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76__2757d70b,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76,335,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76,335
INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD__daa3e749,INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD,272,INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD,272
Multiple congenital anomalies-hypotonia-seizures syndrome__8d671c88,Multiple congenital anomalies-hypotonia-seizures syndrome,56,Multiple congenital anomalies-hypotonia-seizures syndrome,56
SCAF4__368b9191,SCAF4,323,SCAF4,323
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR__5be44a5b","MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR",215,"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR",215
STRUCTURAL BRAIN ANOMALIES WITH IMPAIRED INTELLECTUAL DEVELOPMENT AND CRANIOSYNOSTOSIS; BAIDCS__9bb1be86,STRUCTURAL BRAIN ANOMALIES WITH IMPAIRED INTELLECTUAL DEVELOPMENT AND CRANIOSYNOSTOSIS; BAIDCS,282,STRUCTURAL BRAIN ANOMALIES WITH IMPAIRED INTELLECTUAL DEVELOPMENT AND CRANIOSYNOSTOSIS; BAIDCS,282
LI-CAMPEAU SYNDROME; LICAS__4d180bb7,LI-CAMPEAU SYNDROME; LICAS,324,LI-CAMPEAU SYNDROME; LICAS,324
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG__0dc824b9,BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG,322,BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG,322
NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA__62ca776f,NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA,267,NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA,267
Tuberous sclerosis__e3cfa39d,Tuberous sclerosis,331,Tuberous sclerosis,331
CHANARIN-DORFMAN SYNDROME; CDS__5924088d,CHANARIN-DORFMAN SYNDROME; CDS,373,CHANARIN-DORFMAN SYNDROME; CDS,373
WEAVER SYNDROME; WVS__7c74ac9e,WEAVER SYNDROME; WVS,102,WEAVER SYNDROME; WVS,102
Fanconi anemia__82309df0,Fanconi anemia,570,Fanconi anemia,570
RENPENNING SYNDROME 1; RENS1__2310d1fa,RENPENNING SYNDROME 1; RENS1,84,RENPENNING SYNDROME 1; RENS1,84
STANKIEWICZ-ISIDOR SYNDROME; STISS__496fc6fe,STANKIEWICZ-ISIDOR SYNDROME; STISS,348,STANKIEWICZ-ISIDOR SYNDROME; STISS,348
"Arthrogryposis, renal dysfunction, and cholestasis__c609e7a9","Arthrogryposis, renal dysfunction, and cholestasis",488,"Arthrogryposis, renal dysfunction, and cholestasis",488
"Myopathy, centronuclear__ef188f60","Myopathy, centronuclear",310,"Myopathy, centronuclear",310
"Cardiomyopathy, familial hypertrophic__8cd12214","Cardiomyopathy, familial hypertrophic",459,"Cardiomyopathy, familial hypertrophic",459
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES__1f4558cc","BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",79,"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",79
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53__fb585755","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53",394,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53",394
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54__b075f83b","MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54",313,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54",313
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 59; MRD59__f1b3798d","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 59; MRD59",550,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 59; MRD59",550
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS__91c02067,BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,172,BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,172
Silver-Russell syndrome__7aea26cd,Silver-Russell syndrome,273,Silver-Russell syndrome,273
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC__7e00eb09","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC",81,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC",81
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN__de6bcf04","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN",182,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN",182
TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS__ca2e27f5,TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS,378,TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS,378
NEUROOCULOCARDIOGENITOURINARY SYNDROME; NOCGUS__4ca82618,NEUROOCULOCARDIOGENITOURINARY SYNDROME; NOCGUS,263,NEUROOCULOCARDIOGENITOURINARY SYNDROME; NOCGUS,263
3-Methylglutaconic aciduria__fae4ed41,3-Methylglutaconic aciduria,218,3-Methylglutaconic aciduria,218
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS__35255618","INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS",262,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS",262
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB__f5e2a501","ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB",290,"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB",290
CEBALID SYNDROME; CEBALID__922186ad,CEBALID SYNDROME; CEBALID,93,CEBALID SYNDROME; CEBALID,93
NIZON-ISIDOR SYNDROME; NIZIDS__d32ad35d,NIZON-ISIDOR SYNDROME; NIZIDS,421,NIZON-ISIDOR SYNDROME; NIZIDS,421
OPITZ-KAVEGGIA SYNDROME; OKS__1a308d58,OPITZ-KAVEGGIA SYNDROME; OKS,214,OPITZ-KAVEGGIA SYNDROME; OKS,214
GNAI1__65585e29,GNAI1,193,GNAI1,193
NEURODEVELOPMENTAL DISORDER WITH BRAIN ANOMALIES AND WITH OR WITHOUT VERTEBRAL OR CARDIAC ANOMALIES; NEDBAVC__f9c001dd,NEURODEVELOPMENTAL DISORDER WITH BRAIN ANOMALIES AND WITH OR WITHOUT VERTEBRAL OR CARDIAC ANOMALIES; NEDBAVC,434,NEURODEVELOPMENTAL DISORDER WITH BRAIN ANOMALIES AND WITH OR WITHOUT VERTEBRAL OR CARDIAC ANOMALIES; NEDBAVC,434
OGDEN SYNDROME; OGDNS__32400320,OGDEN SYNDROME; OGDNS,11,OGDEN SYNDROME; OGDNS,11
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13__c586aa7a,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13,559,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13,559
MCCUNE-ALBRIGHT SYNDROME; MAS__473d9355,MCCUNE-ALBRIGHT SYNDROME; MAS,386,MCCUNE-ALBRIGHT SYNDROME; MAS,386
SIN3B__fe787741,SIN3B,484,SIN3B,484
"SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50__f879b2ca","SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50",400,"SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50",400
Cerebral creatine deficiency syndrome__1c5c44f4,Cerebral creatine deficiency syndrome,555,Cerebral creatine deficiency syndrome,555
Teebi hypertelorism syndrome__2ef765f6,Teebi hypertelorism syndrome,148,Teebi hypertelorism syndrome,148
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA__879295cb","INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA",200,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA",200
RETT SYNDROME; RTT__796e1ab7,RETT SYNDROME; RTT,134,RETT SYNDROME; RTT,134
LEOPARD syndrome__e157501a,LEOPARD syndrome,361,LEOPARD syndrome,361
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL__c65e4e12","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL",51,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL",51
BIRK-BAREL SYNDROME; BIBARS__c009054c,BIRK-BAREL SYNDROME; BIBARS,327,BIRK-BAREL SYNDROME; BIBARS,327
Stickler syndrome__b5106665,Stickler syndrome,98,Stickler syndrome,98
BECK-FAHRNER SYNDROME; BEFAHRS__535246fd,BECK-FAHRNER SYNDROME; BEFAHRS,237,BECK-FAHRNER SYNDROME; BEFAHRS,237
"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1__95724a7b","SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1",68,"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1",68
MARBACH-RUSTAD PROGEROID SYNDROME; MARUPS__0ece02ad,MARBACH-RUSTAD PROGEROID SYNDROME; MARUPS,535,MARBACH-RUSTAD PROGEROID SYNDROME; MARUPS,535
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67__af5e3839","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67",280,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67",280
SPINOCEREBELLAR ATAXIA 26; SCA26__5d7a2127,SPINOCEREBELLAR ATAXIA 26; SCA26,518,SPINOCEREBELLAR ATAXIA 26; SCA26,518
"MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND__52ec68b1","MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND",296,"MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND",296
NEUROFACIOSKELETAL SYNDROME WITH OR WITHOUT RENAL AGENESIS; NFSRA__ff5da6ae,NEUROFACIOSKELETAL SYNDROME WITH OR WITHOUT RENAL AGENESIS; NFSRA,415,NEUROFACIOSKELETAL SYNDROME WITH OR WITHOUT RENAL AGENESIS; NFSRA,415
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA__36c313f9","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA",286,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA",286
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND_OR STRUCTURAL BRAIN ABNORMALITIES; NEDASB__5eb18dd7,NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND/OR STRUCTURAL BRAIN ABNORMALITIES; NEDASB,417,NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND/OR STRUCTURAL BRAIN ABNORMALITIES; NEDASB,417
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS__6d1cb7e7","NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS",446,"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND CEREBELLAR ATROPHY, WITH OR WITHOUT SEIZURES; NEDHCAS",446
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83__a0ff7a62,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,253,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,253
"SKELETAL DYSPLASIA, MILD, WITH JOINT LAXITY AND ADVANCED BONE AGE; SDJLABA__51c5e5f4","SKELETAL DYSPLASIA, MILD, WITH JOINT LAXITY AND ADVANCED BONE AGE; SDJLABA",485,"SKELETAL DYSPLASIA, MILD, WITH JOINT LAXITY AND ADVANCED BONE AGE; SDJLABA",485
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA__7d1698cc","NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA",298,"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA",298
NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS__23c4a335,NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS,384,NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS,384
"PACHYGYRIA, MICROCEPHALY, DEVELOPMENTAL DELAY, AND DYSMORPHIC FACIES, WITH OR WITHOUT SEIZURES; PAMDDFS__dfd919a5","PACHYGYRIA, MICROCEPHALY, DEVELOPMENTAL DELAY, AND DYSMORPHIC FACIES, WITH OR WITHOUT SEIZURES; PAMDDFS",359,"PACHYGYRIA, MICROCEPHALY, DEVELOPMENTAL DELAY, AND DYSMORPHIC FACIES, WITH OR WITHOUT SEIZURES; PAMDDFS",359
"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES; NEDMABA__384c3e13","NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES; NEDMABA",307,"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES; NEDMABA",307
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS__511292b2","AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",233,"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",233
NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS__f4d141f9,NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS,472,NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS,472
"NEURODEVELOPMENTAL, JAW, EYE, AND DIGITAL SYNDROME; NEDJED__6279375d","NEURODEVELOPMENTAL, JAW, EYE, AND DIGITAL SYNDROME; NEDJED",379,"NEURODEVELOPMENTAL, JAW, EYE, AND DIGITAL SYNDROME; NEDJED",379
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND AUTISTIC FEATURES WITH OR WITHOUT HYPERKINETIC MOVEMENTS; NEDHAHM__a9ed43f1,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND AUTISTIC FEATURES WITH OR WITHOUT HYPERKINETIC MOVEMENTS; NEDHAHM,306,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND AUTISTIC FEATURES WITH OR WITHOUT HYPERKINETIC MOVEMENTS; NEDHAHM,306
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP__7d8f0bec","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP",433,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP",433
NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT; NEDSSWI__b78ddcce,NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT; NEDSSWI,408,NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT; NEDSSWI,408
Trichothiodystrophy__ad7c58c6,Trichothiodystrophy,364,Trichothiodystrophy,364
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS__e1210636,BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,240,BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,240
CULLER-JONES SYNDROME; CJS__14633d92,CULLER-JONES SYNDROME; CJS,450,CULLER-JONES SYNDROME; CJS,450
"NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF__b521eab1","NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF",572,"NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF",572
ALSTROM SYNDROME; ALMS__ed7a4d89,ALSTROM SYNDROME; ALMS,178,ALSTROM SYNDROME; ALMS,178
Three M syndrome__7b34cefc,Three M syndrome,160,Three M syndrome,160
SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME__ccd82c43,SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME,320,SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME,320
"SHORT STATURE, OLIGODONTIA, DYSMORPHIC FACIES, AND MOTOR DELAY; SOFM__8692a2b6","SHORT STATURE, OLIGODONTIA, DYSMORPHIC FACIES, AND MOTOR DELAY; SOFM",422,"SHORT STATURE, OLIGODONTIA, DYSMORPHIC FACIES, AND MOTOR DELAY; SOFM",422
Ehlers-Danlos syndrome__26e9618d,Ehlers-Danlos syndrome,97,Ehlers-Danlos syndrome,97
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 5; MRT5__20bd5ad4","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 5; MRT5",544,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 5; MRT5",544
Mitochondrial DNA depletion syndrome__476fb708,Mitochondrial DNA depletion syndrome,425,Mitochondrial DNA depletion syndrome,425
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF__09e041a7,CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF,405,CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF,405
STEEL SYNDROME; STLS__f4e3c1f7,STEEL SYNDROME; STLS,416,STEEL SYNDROME; STLS,416
"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT__71dae9cd","SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT",210,"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT",210
"SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS; SCA42ND__672012d2","SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS; SCA42ND",302,"SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS; SCA42ND",302
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18__061e4bd8,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18,561,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18,561
"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB__eda27202","FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB",579,"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB",579
ALZAHRANI-KUWAHARA SYNDROME; ALKUS__cb4191a1,ALZAHRANI-KUWAHARA SYNDROME; ALKUS,256,ALZAHRANI-KUWAHARA SYNDROME; ALKUS,256
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1__8dd54a3a,ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,496,ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,496
GAND SYNDROME; GAND__99b4d765,GAND SYNDROME; GAND,186,GAND SYNDROME; GAND,186
FRANK-TER HAAR SYNDROME; FTHS__a8d3e9dd,FRANK-TER HAAR SYNDROME; FTHS,376,FRANK-TER HAAR SYNDROME; FTHS,376
MYHRE SYNDROME; MYHRS__9c537410,MYHRE SYNDROME; MYHRS,74,MYHRE SYNDROME; MYHRS,74
"SHORT STATURE, IMPAIRED INTELLECTUAL DEVELOPMENT, MICROCEPHALY, HYPOTONIA, AND OCULAR ANOMALIES; SIMHA__16778791","SHORT STATURE, IMPAIRED INTELLECTUAL DEVELOPMENT, MICROCEPHALY, HYPOTONIA, AND OCULAR ANOMALIES; SIMHA",315,"SHORT STATURE, IMPAIRED INTELLECTUAL DEVELOPMENT, MICROCEPHALY, HYPOTONIA, AND OCULAR ANOMALIES; SIMHA",315
Cold-induced sweating syndrome__948f48b8,Cold-induced sweating syndrome,159,Cold-induced sweating syndrome,159
WOLF-HIRSCHHORN SYNDROME; WHS__f94cc3ea,WOLF-HIRSCHHORN SYNDROME; WHS,209,WOLF-HIRSCHHORN SYNDROME; WHS,209
"INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1__cb4aa3c4","INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1",389,"INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1",389
COHEN SYNDROME; COH1__982d7c55,COHEN SYNDROME; COH1,100,COHEN SYNDROME; COH1,100
SNIJDERS BLOK-CAMPEAU SYNDROME; SNIBCPS__6ce67b1f,SNIJDERS BLOK-CAMPEAU SYNDROME; SNIBCPS,152,SNIJDERS BLOK-CAMPEAU SYNDROME; SNIBCPS,152
GABRIELE-DE VRIES SYNDROME; GADEVS__a91f692b,GABRIELE-DE VRIES SYNDROME; GADEVS,565,GABRIELE-DE VRIES SYNDROME; GADEVS,565
MACS SYNDROME__beebe5bf,MACS SYNDROME,353,MACS SYNDROME,353
FAM20B__3298e12f,FAM20B,575,FAM20B,575
PAGANINI-MIOZZO SYNDROME; MRXSPM__22ba51ae,PAGANINI-MIOZZO SYNDROME; MRXSPM,503,PAGANINI-MIOZZO SYNDROME; MRXSPM,503
NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES; NEDMIBA__d6ac6893,NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES; NEDMIBA,463,NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES; NEDMIBA,463
OCULOSKELETODENTAL SYNDROME; OCSKD__6bbe87b5,OCULOSKELETODENTAL SYNDROME; OCSKD,431,OCULOSKELETODENTAL SYNDROME; OCSKD,431
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39__317e738d","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39",534,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39",534
